,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
0,Precious Achiuwa,[<Position.CENTER: 'CENTER'>],23,Team.TORONTO_RAPTORS,55,12,1140,196,404,0.485,29,108,0.269,87,124,0.702,100,228,50,31,30,59,102,508,9.2
1,Steven Adams,[<Position.CENTER: 'CENTER'>],29,Team.MEMPHIS_GRIZZLIES,42,42,1133,157,263,0.597,0,1,0.0,47,129,0.364,214,271,97,36,46,79,98,361,8.6
2,Bam Adebayo,[<Position.CENTER: 'CENTER'>],25,Team.MIAMI_HEAT,75,75,2598,602,1114,0.54,1,12,0.083,324,402,0.806,184,504,240,88,61,187,208,1529,20.4
3,Ochai Agbaji,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.UTAH_JAZZ,59,22,1209,165,386,0.427,81,228,0.355,56,69,0.812,43,78,67,16,15,41,99,467,7.9
4,Santi Aldama,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.MEMPHIS_GRIZZLIES,77,20,1682,247,525,0.47,94,266,0.353,108,144,0.75,85,286,97,45,48,60,143,696,9.0
5,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.UTAH_JAZZ,36,3,528,83,170,0.488,35,87,0.402,27,39,0.692,8,51,76,24,14,45,58,228,6.3
6,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MINNESOTA_TIMBERWOLVES,23,0,356,48,125,0.384,26,72,0.361,13,21,0.619,7,35,32,8,7,10,30,135,5.9
7,Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.MILWAUKEE_BUCKS,72,70,1972,245,557,0.44,146,366,0.399,114,126,0.905,61,176,163,62,14,72,117,750,10.4
8,Jarrett Allen,[<Position.CENTER: 'CENTER'>],24,Team.CLEVELAND_CAVALIERS,68,68,2220,403,626,0.644,1,10,0.1,162,221,0.733,221,445,113,54,84,93,153,969,14.2
9,Jose Alvarado,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.NEW_ORLEANS_PELICANS,61,10,1310,201,489,0.411,83,247,0.336,65,80,0.812,28,113,186,67,10,81,125,550,9.0
10,Kyle Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.MINNESOTA_TIMBERWOLVES,69,46,1957,252,495,0.509,43,105,0.41,100,136,0.735,66,302,335,78,63,103,146,647,9.4
11,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.MILWAUKEE_BUCKS,63,63,2024,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,359,52,51,246,197,1959,31.1
12,Thanasis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.MILWAUKEE_BUCKS,37,0,206,20,46,0.435,0,8,0.0,11,22,0.5,15,29,15,3,3,12,22,51,1.4
13,Cole Anthony,[<Position.POINT_GUARD: 'POINT GUARD'>],22,Team.ORLANDO_MAGIC,60,4,1552,277,610,0.454,75,206,0.364,152,170,0.894,47,241,235,37,31,91,158,781,13.0
14,OG Anunoby,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.TORONTO_RAPTORS,67,67,2386,421,885,0.476,142,367,0.387,140,167,0.838,95,237,131,128,50,132,200,1124,16.8
15,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.NEW_YORK_KNICKS,11,0,26,1,5,0.2,1,3,0.333,0,0,,0,4,2,2,0,1,3,3,0.3
16,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.PORTLAND_TRAIL_BLAZERS,9,4,146,8,32,0.25,7,20,0.35,0,0,,0,11,21,3,0,6,14,23,2.6
17,Deni Avdija,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,Team.WASHINGTON_WIZARDS,76,40,2020,253,579,0.437,69,232,0.297,122,165,0.739,74,413,211,65,29,123,209,697,9.2
18,Deandre Ayton,[<Position.CENTER: 'CENTER'>],24,Team.PHOENIX_SUNS,67,67,2035,522,887,0.589,7,24,0.292,152,200,0.76,172,495,115,37,53,120,190,1203,18.0
19,Udoka Azubuike,[<Position.CENTER: 'CENTER'>],23,Team.UTAH_JAZZ,36,4,359,59,72,0.819,0,0,,7,20,0.35,31,88,11,6,15,18,34,125,3.5
20,Marvin Bagley III,[<Position.CENTER: 'CENTER'>],23,Team.DETROIT_PISTONS,42,25,990,202,382,0.529,19,66,0.288,81,108,0.75,94,175,36,19,30,46,81,504,12.0
21,Patrick Baldwin Jr.,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20,Team.GOLDEN_STATE_WARRIORS,31,0,226,43,109,0.394,32,84,0.381,4,6,0.667,1,39,11,6,4,11,14,122,3.9
22,LaMelo Ball,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.CHARLOTTE_HORNETS,36,36,1268,296,721,0.411,144,383,0.376,102,122,0.836,42,189,304,46,11,129,118,838,23.3
23,Mo Bamba,[<Position.CENTER: 'CENTER'>],24,Team.ORLANDO_MAGIC,40,6,681,106,214,0.495,43,108,0.398,35,51,0.686,47,137,42,12,38,22,86,290,7.2
24,Mo Bamba,[<Position.CENTER: 'CENTER'>],24,Team.LOS_ANGELES_LAKERS,9,1,88,11,27,0.407,5,16,0.312,6,11,0.545,11,30,4,1,5,8,19,33,3.7
25,Paolo Banchero,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20,Team.ORLANDO_MAGIC,72,72,2430,479,1122,0.427,85,285,0.298,394,534,0.738,84,413,269,60,39,200,160,1437,20.0
26,Desmond Bane,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MEMPHIS_GRIZZLIES,58,58,1841,450,939,0.479,166,407,0.408,181,205,0.883,43,248,254,56,22,126,150,1247,21.5
27,Dalano Banton,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.TORONTO_RAPTORS,31,2,279,55,130,0.423,15,51,0.294,17,24,0.708,11,34,36,13,13,18,34,142,4.6
28,Dominick Barlow,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.SAN_ANTONIO_SPURS,28,0,408,46,86,0.535,0,4,0.0,18,25,0.72,46,56,24,10,19,15,56,110,3.9
29,Harrison Barnes,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.SACRAMENTO_KINGS,82,82,2662,374,791,0.473,132,353,0.374,350,413,0.847,87,279,128,57,10,86,103,1230,15.0
30,Scottie Barnes,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.TORONTO_RAPTORS,77,76,2678,463,1016,0.456,63,224,0.281,190,246,0.772,179,333,371,83,61,154,170,1179,15.3
31,RJ Barrett,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.NEW_YORK_KNICKS,73,73,2475,510,1176,0.434,121,390,0.31,290,392,0.74,60,308,201,31,15,164,179,1431,19.6
32,Will Barton,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32,Team.WASHINGTON_WIZARDS,40,0,782,110,285,0.386,52,138,0.377,35,45,0.778,10,101,95,17,10,45,39,307,7.7
33,Will Barton,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32,Team.TORONTO_RAPTORS,16,2,211,28,79,0.354,14,42,0.333,2,2,1.0,5,21,17,11,3,3,17,72,4.5
34,Charles Bassey,[<Position.CENTER: 'CENTER'>],22,Team.SAN_ANTONIO_SPURS,35,2,508,87,135,0.644,3,8,0.375,22,37,0.595,75,118,47,16,33,41,74,199,5.7
35,Keita Bates-Diop,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.SAN_ANTONIO_SPURS,67,42,1452,236,465,0.508,56,142,0.394,119,150,0.793,65,183,103,46,20,56,63,647,9.7
36,Nicolas Batum,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34,Team.LOS_ANGELES_CLIPPERS,78,19,1709,160,381,0.42,124,317,0.391,34,48,0.708,62,237,121,54,44,50,149,478,6.1
37,Darius Bazley,[<Position.CENTER: 'CENTER'>],22,Team.OKLAHOMA_CITY_THUNDER,36,1,555,71,158,0.449,18,45,0.4,36,65,0.554,29,93,32,19,29,22,35,196,5.4
38,Darius Bazley,[<Position.CENTER: 'CENTER'>],22,Team.PHOENIX_SUNS,7,0,61,12,25,0.48,2,8,0.25,2,5,0.4,5,11,6,3,5,5,9,28,4.0
39,Bradley Beal,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.WASHINGTON_WIZARDS,50,50,1673,444,878,0.506,80,219,0.365,192,228,0.842,41,155,271,45,33,145,107,1160,23.2
40,Malik Beasley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.UTAH_JAZZ,55,13,1472,265,669,0.396,169,471,0.359,37,44,0.841,27,170,93,44,8,60,75,736,13.4
41,Malik Beasley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.LOS_ANGELES_LAKERS,26,14,621,105,268,0.392,66,187,0.353,13,21,0.619,8,78,31,21,1,30,32,289,11.1
42,MarJon Beauchamp,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,Team.MILWAUKEE_BUCKS,52,11,701,96,243,0.395,47,142,0.331,27,37,0.73,38,77,35,21,7,45,71,266,5.1
43,Dāvis Bertāns,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.DALLAS_MAVERICKS,45,1,492,69,160,0.431,55,141,0.39,13,15,0.867,10,43,21,11,8,10,53,206,4.6
44,Patrick Beverley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34,Team.LOS_ANGELES_LAKERS,45,45,1211,97,241,0.402,55,158,0.348,39,50,0.78,24,116,118,40,25,42,124,288,6.4
45,Patrick Beverley,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.CHICAGO_BULLS,22,22,605,47,119,0.395,25,81,0.309,8,15,0.533,20,87,76,23,16,18,63,127,5.8
46,Saddiq Bey,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.DETROIT_PISTONS,52,30,1500,245,606,0.404,101,293,0.345,180,209,0.861,59,183,84,50,12,54,86,771,14.8
47,Saddiq Bey,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.ATLANTA_HAWKS,25,7,629,108,230,0.47,50,125,0.4,25,29,0.862,39,81,34,20,1,17,37,291,11.6
48,Khem Birch,[<Position.CENTER: 'CENTER'>],30,Team.TORONTO_RAPTORS,20,0,162,19,32,0.594,1,2,0.5,4,5,0.8,8,17,7,5,5,8,24,43,2.2
49,Goga Bitadze,[<Position.CENTER: 'CENTER'>],23,Team.INDIANA_PACERS,21,0,202,27,52,0.519,4,14,0.286,11,24,0.458,25,24,18,9,10,12,34,69,3.3
50,Goga Bitadze,[<Position.CENTER: 'CENTER'>],23,Team.ORLANDO_MAGIC,17,1,255,42,73,0.575,2,12,0.167,12,18,0.667,36,52,21,7,16,10,30,98,5.8
51,Bismack Biyombo,[<Position.CENTER: 'CENTER'>],30,Team.PHOENIX_SUNS,61,14,874,119,206,0.578,0,0,,25,70,0.357,89,171,56,18,88,51,114,263,4.3
52,Buddy Boeheim,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.DETROIT_PISTONS,10,0,90,5,27,0.185,4,25,0.16,2,2,1.0,2,4,4,2,0,0,6,16,1.6
53,Bogdan Bogdanović,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30,Team.ATLANTA_HAWKS,54,9,1508,273,611,0.447,146,360,0.406,64,77,0.831,23,142,150,43,18,65,86,756,14.0
54,Bojan Bogdanović,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33,Team.DETROIT_PISTONS,59,59,1893,430,882,0.488,145,353,0.411,268,303,0.884,36,187,152,34,8,135,113,1273,21.6
55,Bol Bol,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.ORLANDO_MAGIC,70,33,1505,261,478,0.546,30,113,0.265,82,108,0.759,69,336,69,30,85,112,92,634,9.1
56,Leandro Bolmaro,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,Team.UTAH_JAZZ,14,0,68,3,20,0.15,0,4,0.0,0,0,,4,3,7,3,1,7,10,6,0.4
57,Devin Booker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.PHOENIX_SUNS,53,53,1835,527,1067,0.494,111,316,0.351,306,358,0.855,46,194,293,51,18,145,159,1471,27.8
58,Brandon Boston Jr.,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.LOS_ANGELES_CLIPPERS,22,1,248,51,122,0.418,12,29,0.414,29,38,0.763,7,23,20,9,0,12,21,143,6.5
59,Chris Boucher,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.TORONTO_RAPTORS,76,0,1523,261,529,0.493,62,189,0.328,128,168,0.762,157,264,29,47,64,41,143,712,9.4
60,James Bouknight,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.CHARLOTTE_HORNETS,34,0,515,69,193,0.358,33,109,0.303,20,30,0.667,8,64,41,14,5,32,49,191,5.6
61,Jamaree Bouyea,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.MIAMI_HEAT,4,0,65,6,13,0.462,2,5,0.4,1,2,0.5,1,4,4,4,2,4,5,15,3.8
62,Jamaree Bouyea,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.WASHINGTON_WIZARDS,1,0,6,0,1,0.0,0,1,0.0,0,0,,0,1,0,0,0,0,1,0,0.0
63,Tony Bradley,[<Position.CENTER: 'CENTER'>],25,Team.CHICAGO_BULLS,12,0,33,6,12,0.5,3,5,0.6,4,4,1.0,1,10,1,1,1,1,2,19,1.6
64,Malaki Branham,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.SAN_ANTONIO_SPURS,66,32,1550,269,611,0.44,77,255,0.302,58,70,0.829,28,153,127,33,7,76,115,673,10.2
65,Jarrell Brantley,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.UTAH_JAZZ,4,0,39,8,14,0.571,4,9,0.444,2,2,1.0,1,5,3,0,2,2,3,22,5.5
66,Christian Braun,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.DENVER_NUGGETS,76,6,1181,143,289,0.495,34,96,0.354,40,64,0.625,48,133,59,41,17,35,101,360,4.7
67,Mikal Bridges,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.PHOENIX_SUNS,56,56,2040,354,764,0.463,101,261,0.387,156,174,0.897,56,187,201,65,45,78,115,965,17.2
68,Mikal Bridges,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.BROOKLYN_NETS,27,27,923,239,503,0.475,68,181,0.376,160,179,0.894,23,98,72,26,16,49,44,706,26.1
69,Oshae Brissett,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,Team.INDIANA_PACERS,65,2,1083,123,319,0.386,48,155,0.31,104,145,0.717,62,156,44,33,13,34,79,398,6.1
70,Malcolm Brogdon,[<Position.POINT_GUARD: 'POINT GUARD'>],30,Team.BOSTON_CELTICS,67,0,1744,354,732,0.484,132,297,0.444,160,184,0.87,42,238,248,45,18,98,109,1000,14.9
71,Dillon Brooks,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.MEMPHIS_GRIZZLIES,73,73,2214,392,991,0.396,143,439,0.326,120,154,0.779,45,199,189,65,16,104,240,1047,14.3
72,Bruce Brown,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.DENVER_NUGGETS,80,31,2280,358,741,0.483,91,254,0.358,116,153,0.758,63,265,268,87,51,123,190,923,11.5
73,Greg Brown III,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.PORTLAND_TRAIL_BLAZERS,16,0,93,11,28,0.393,1,7,0.143,5,12,0.417,2,17,3,4,5,6,13,28,1.8
74,Jaylen Brown,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.BOSTON_CELTICS,67,67,2405,679,1383,0.491,163,487,0.335,263,344,0.765,78,381,232,75,26,197,172,1784,26.6
75,Kendall Brown,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.INDIANA_PACERS,6,0,40,4,7,0.571,0,1,0.0,1,2,0.5,2,4,3,4,0,2,9,9,1.5
76,Moses Brown,[<Position.CENTER: 'CENTER'>],23,Team.LOS_ANGELES_CLIPPERS,34,1,288,61,96,0.635,0,0,,33,72,0.458,57,82,4,3,14,14,38,155,4.6
77,Moses Brown,[<Position.CENTER: 'CENTER'>],23,Team.BROOKLYN_NETS,2,0,6,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,0,0.0
78,Sterling Brown,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.LOS_ANGELES_LAKERS,4,0,24,0,4,0.0,0,2,0.0,0,0,,3,5,2,3,0,0,4,0,0.0
79,Troy Brown Jr.,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.LOS_ANGELES_LAKERS,76,45,1860,200,465,0.43,107,281,0.381,34,39,0.872,62,246,95,59,16,49,120,541,7.1
80,Jalen Brunson,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.NEW_YORK_KNICKS,68,68,2379,587,1195,0.491,134,322,0.416,325,392,0.829,40,201,421,61,15,142,152,1633,24.0
81,Thomas Bryant,[<Position.CENTER: 'CENTER'>],25,Team.LOS_ANGELES_LAKERS,41,25,876,197,301,0.654,22,50,0.44,80,108,0.741,67,212,29,14,23,28,77,496,12.1
82,Thomas Bryant,[<Position.CENTER: 'CENTER'>],25,Team.DENVER_NUGGETS,18,1,205,33,68,0.485,4,9,0.444,13,18,0.722,19,41,2,2,7,10,25,83,4.6
83,Reggie Bullock,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,Team.DALLAS_MAVERICKS,78,55,2364,192,470,0.409,151,397,0.38,26,37,0.703,32,251,108,54,13,36,166,561,7.2
84,Alec Burks,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31,Team.DETROIT_PISTONS,51,8,1122,200,459,0.436,99,239,0.414,153,188,0.814,19,139,114,38,8,58,98,652,12.8
85,Deonte Burton,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.SACRAMENTO_KINGS,2,0,6,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0.0
86,Jared Butler,[<Position.POINT_GUARD: 'POINT GUARD'>],22,Team.OKLAHOMA_CITY_THUNDER,6,1,77,15,32,0.469,7,14,0.5,0,0,,1,3,8,5,0,5,5,37,6.2
87,Jimmy Butler,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33,Team.MIAMI_HEAT,64,64,2138,479,888,0.539,36,103,0.35,472,555,0.85,141,234,340,117,21,101,80,1466,22.9
88,John Butler,[<Position.CENTER: 'CENTER'>],20,Team.PORTLAND_TRAIL_BLAZERS,19,1,221,17,53,0.321,8,35,0.229,3,4,0.75,3,14,11,7,9,1,22,45,2.4
89,Jamal Cain,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.MIAMI_HEAT,18,0,240,37,66,0.561,7,20,0.35,17,22,0.773,15,37,12,11,1,6,21,98,5.4
90,Kentavious Caldwell-Pope,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.DENVER_NUGGETS,76,76,2381,292,632,0.462,135,319,0.423,103,125,0.824,35,173,183,112,35,86,145,822,10.8
91,Facundo Campazzo,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.DALLAS_MAVERICKS,8,0,52,3,13,0.231,3,11,0.273,1,2,0.5,0,2,9,6,0,3,3,10,1.2
92,Vlatko Čančar,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.DENVER_NUGGETS,60,9,889,108,227,0.476,43,115,0.374,38,41,0.927,24,104,80,22,14,37,84,297,5.0
93,Clint Capela,[<Position.CENTER: 'CENTER'>],28,Team.ATLANTA_HAWKS,65,63,1730,350,536,0.653,0,1,0.0,79,131,0.603,258,459,58,45,79,54,139,779,12.0
94,Vernon Carey Jr.,[<Position.CENTER: 'CENTER'>],21,Team.WASHINGTON_WIZARDS,11,0,28,2,8,0.25,0,0,,2,2,1.0,3,8,3,2,2,2,5,6,0.5
95,Jevon Carter,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.MILWAUKEE_BUCKS,81,39,1810,239,565,0.423,142,337,0.421,31,38,0.816,35,167,197,66,29,78,158,651,8.0
96,Wendell Carter Jr.,[<Position.CENTER: 'CENTER'>],23,Team.ORLANDO_MAGIC,57,54,1690,322,613,0.525,80,225,0.356,144,195,0.738,120,377,132,30,33,106,159,868,15.2
97,Michael Carter-Williams,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.ORLANDO_MAGIC,4,0,44,6,14,0.429,1,3,0.333,4,7,0.571,1,4,7,1,1,4,5,17,4.2
98,Alex Caruso,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.CHICAGO_BULLS,67,36,1575,130,286,0.455,55,151,0.364,59,73,0.808,42,154,193,98,46,77,159,374,5.6
99,Julian Champagnie,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.PHILADELPHIA_76ERS,2,0,7,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0.0
100,Julian Champagnie,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.SAN_ANTONIO_SPURS,15,3,313,59,128,0.461,33,81,0.407,14,17,0.824,10,50,10,5,5,11,26,165,11.0
101,Justin Champagnie,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.TORONTO_RAPTORS,3,0,11,3,3,1.0,0,0,,0,0,,1,3,1,0,0,0,1,6,2.0
102,Justin Champagnie,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.BOSTON_CELTICS,2,0,23,2,12,0.167,1,5,0.2,0,0,,2,2,3,1,0,0,1,5,2.5
103,Kennedy Chandler,[<Position.POINT_GUARD: 'POINT GUARD'>],20,Team.MEMPHIS_GRIZZLIES,36,0,281,35,83,0.422,2,15,0.133,6,13,0.462,9,29,58,12,5,18,15,78,2.2
104,Max Christie,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.LOS_ANGELES_LAKERS,41,3,512,44,106,0.415,26,62,0.419,14,16,0.875,7,68,21,9,7,13,33,128,3.1
105,Josh Christopher,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.HOUSTON_ROCKETS,64,2,786,153,329,0.465,21,89,0.236,45,60,0.75,20,51,73,33,15,60,59,372,5.8
106,Brandon Clarke,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.MEMPHIS_GRIZZLIES,56,8,1090,229,349,0.656,1,6,0.167,99,137,0.723,92,218,72,34,37,55,131,558,10.0
107,Jordan Clarkson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30,Team.UTAH_JAZZ,61,61,1988,458,1031,0.444,155,459,0.338,200,245,0.816,72,174,270,33,13,186,120,1271,20.8
108,Nic Claxton,[<Position.CENTER: 'CENTER'>],23,Team.BROOKLYN_NETS,76,76,2271,414,587,0.705,0,2,0.0,133,246,0.541,184,518,144,65,189,96,212,961,12.6
109,Amir Coffey,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.LOS_ANGELES_CLIPPERS,50,9,625,56,145,0.386,11,40,0.275,49,63,0.778,17,36,53,7,5,21,50,172,3.4
110,John Collins,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.ATLANTA_HAWKS,71,71,2130,359,707,0.508,70,240,0.292,143,178,0.803,77,385,85,42,73,79,220,931,13.1
111,Zach Collins,[<Position.CENTER: 'CENTER'>],25,Team.SAN_ANTONIO_SPURS,63,26,1441,284,548,0.518,55,147,0.374,108,142,0.761,116,286,180,37,49,129,199,731,11.6
112,Chance Comanche,[<Position.CENTER: 'CENTER'>],26,Team.PORTLAND_TRAIL_BLAZERS,1,0,21,3,5,0.6,0,0,,1,4,0.25,2,1,0,0,1,0,0,7,7.0
113,Mike Conley,[<Position.POINT_GUARD: 'POINT GUARD'>],35,Team.UTAH_JAZZ,43,42,1276,153,375,0.408,77,213,0.362,78,96,0.812,17,90,330,44,10,74,94,461,10.7
114,Mike Conley,[<Position.POINT_GUARD: 'POINT GUARD'>],35,Team.MINNESOTA_TIMBERWOLVES,24,24,753,108,235,0.46,58,138,0.42,63,73,0.863,16,59,120,29,4,29,45,337,14.0
115,Pat Connaughton,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30,Team.MILWAUKEE_BUCKS,61,33,1443,165,421,0.392,109,322,0.339,27,41,0.659,50,233,77,37,11,33,69,466,7.6
116,Xavier Cooks,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.WASHINGTON_WIZARDS,10,1,126,17,28,0.607,0,1,0.0,4,10,0.4,16,22,6,6,4,8,13,38,3.8
117,Robert Covington,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32,Team.LOS_ANGELES_CLIPPERS,48,0,779,102,229,0.445,54,136,0.397,30,40,0.75,31,135,57,38,33,32,86,288,6.0
118,Torrey Craig,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32,Team.PHOENIX_SUNS,79,60,1948,228,500,0.456,100,253,0.395,32,45,0.711,145,281,117,50,62,73,179,588,7.4
119,Jae Crowder,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32,Team.MILWAUKEE_BUCKS,18,3,340,45,94,0.479,24,55,0.436,10,12,0.833,17,52,27,12,6,7,27,124,6.9
120,Jarrett Culver,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.ATLANTA_HAWKS,10,1,137,17,43,0.395,1,12,0.083,9,13,0.692,10,28,6,6,2,7,14,44,4.4
121,Cade Cunningham,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.DETROIT_PISTONS,12,12,400,93,224,0.415,17,61,0.279,36,43,0.837,12,62,72,10,7,39,34,239,19.9
122,Seth Curry,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32,Team.BROOKLYN_NETS,61,7,1211,208,449,0.463,94,232,0.405,51,55,0.927,13,87,99,36,7,51,96,561,9.2
123,Stephen Curry,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.GOLDEN_STATE_WARRIORS,56,56,1941,559,1133,0.493,273,639,0.427,257,281,0.915,39,302,352,52,20,179,117,1648,29.4
124,Dyson Daniels,[<Position.POINT_GUARD: 'POINT GUARD'>],19,Team.NEW_ORLEANS_PELICANS,59,11,1042,87,208,0.418,27,86,0.314,26,40,0.65,36,152,134,43,11,57,99,227,3.8
125,Anthony Davis,[<Position.CENTER: 'CENTER'>],29,Team.LOS_ANGELES_LAKERS,56,54,1904,542,962,0.563,19,74,0.257,348,444,0.784,195,507,148,59,114,122,146,1451,25.9
126,Johnny Davis,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.WASHINGTON_WIZARDS,28,5,423,66,171,0.386,17,70,0.243,14,27,0.519,10,55,28,10,8,17,48,163,5.8
127,Terence Davis,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.SACRAMENTO_KINGS,64,5,841,154,364,0.423,89,243,0.366,34,43,0.791,20,119,67,43,12,53,104,431,6.7
128,JD Davison,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.BOSTON_CELTICS,12,0,66,8,19,0.421,2,7,0.286,1,2,0.5,2,7,11,2,2,4,5,19,1.6
