,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
472,Duncan Robinson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,Team.MIAMI_HEAT,42,1,691,88,237,0.371,63,192,0.328,29,32,0.906,8,61,46,14,0,28,77,268,6.4
473,Mitchell Robinson,[<Position.CENTER: 'CENTER'>],24,Team.NEW_YORK_KNICKS,59,58,1591,188,280,0.671,0,0,,59,122,0.484,267,288,53,56,109,41,160,435,7.4
474,Orlando Robinson,[<Position.CENTER: 'CENTER'>],22,Team.MIAMI_HEAT,31,1,425,47,89,0.528,0,6,0.0,22,31,0.71,48,78,25,12,12,16,53,116,3.7
475,Jeremiah Robinson-Earl,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.OKLAHOMA_CITY_THUNDER,43,20,814,110,248,0.444,37,111,0.333,35,42,0.833,71,109,43,24,11,19,71,292,6.8
476,Isaiah Roby,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,Team.SAN_ANTONIO_SPURS,42,2,474,67,155,0.432,18,60,0.3,20,41,0.488,21,86,38,18,7,31,53,172,4.1
477,David Roddy,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.MEMPHIS_GRIZZLIES,70,4,1258,180,420,0.429,65,212,0.307,41,65,0.631,50,143,59,29,19,57,107,466,6.7
478,Ryan Rollins,[<Position.POINT_GUARD: 'POINT GUARD'>],20,Team.GOLDEN_STATE_WARRIORS,12,0,62,7,20,0.35,3,9,0.333,6,6,1.0,3,9,6,1,1,16,10,23,1.9
479,Derrick Rose,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.NEW_YORK_KNICKS,27,0,338,61,159,0.384,19,63,0.302,11,12,0.917,8,32,46,7,5,22,18,152,5.6
480,Terrence Ross,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31,Team.ORLANDO_MAGIC,42,9,944,129,299,0.431,61,160,0.381,15,20,0.75,10,75,54,25,8,37,53,334,8.0
481,Terrence Ross,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31,Team.PHOENIX_SUNS,21,0,386,71,166,0.428,34,98,0.347,12,14,0.857,12,57,41,10,2,6,44,188,9.0
482,Terry Rozier,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,Team.CHARLOTTE_HORNETS,63,63,2221,493,1188,0.415,165,505,0.327,178,220,0.809,51,208,319,74,16,134,119,1329,21.1
483,Ricky Rubio,[<Position.POINT_GUARD: 'POINT GUARD'>],32,Team.CLEVELAND_CAVALIERS,33,2,566,61,178,0.343,21,82,0.256,28,35,0.8,9,61,115,26,6,31,51,171,5.2
484,D'Angelo Russell,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.MINNESOTA_TIMBERWOLVES,54,54,1778,338,727,0.465,148,379,0.391,143,167,0.856,28,137,334,60,21,147,117,967,17.9
485,D'Angelo Russell,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.LOS_ANGELES_LAKERS,17,17,526,107,221,0.484,46,111,0.414,36,49,0.735,7,43,103,10,8,39,23,296,17.4
486,Matt Ryan,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.LOS_ANGELES_LAKERS,12,0,129,15,49,0.306,13,35,0.371,4,5,0.8,2,12,4,2,0,3,14,47,3.9
487,Matt Ryan,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.MINNESOTA_TIMBERWOLVES,22,0,181,25,59,0.424,19,49,0.388,6,7,0.857,2,10,12,3,1,4,13,75,3.4
488,Domantas Sabonis,[<Position.CENTER: 'CENTER'>],26,Team.SACRAMENTO_KINGS,79,79,2736,577,938,0.615,31,83,0.373,325,438,0.742,251,722,573,65,39,230,279,1510,19.1
489,Luka Šamanić,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.UTAH_JAZZ,7,4,161,26,57,0.456,8,31,0.258,9,13,0.692,0,30,15,6,2,10,17,69,9.9
490,Dario Šarić,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.PHOENIX_SUNS,37,12,533,76,178,0.427,27,69,0.391,36,44,0.818,39,103,57,13,5,36,69,215,5.8
491,Dario Šarić,[<Position.CENTER: 'CENTER'>],28,Team.OKLAHOMA_CITY_THUNDER,20,0,273,51,99,0.515,18,46,0.391,27,32,0.844,14,51,17,7,2,19,30,147,7.4
492,Olivier Sarr,[<Position.CENTER: 'CENTER'>],23,Team.OKLAHOMA_CITY_THUNDER,9,1,114,15,30,0.5,1,8,0.125,5,7,0.714,12,19,4,1,5,4,17,36,4.0
493,Jordan Schakel,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.WASHINGTON_WIZARDS,2,0,6,1,2,0.5,1,1,1.0,0,0,,0,0,1,1,0,0,1,3,1.5
494,Admiral Schofield,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.ORLANDO_MAGIC,37,0,451,55,122,0.451,24,74,0.324,21,23,0.913,23,39,31,8,5,16,61,155,4.2
495,Dennis Schröder,[<Position.POINT_GUARD: 'POINT GUARD'>],29,Team.LOS_ANGELES_LAKERS,66,50,1986,270,650,0.415,74,225,0.329,216,252,0.857,21,144,298,50,10,112,145,830,12.6
496,Jay Scrubb,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.ORLANDO_MAGIC,2,0,30,5,7,0.714,2,2,1.0,1,2,0.5,0,6,1,2,0,3,2,13,6.5
497,Dereon Seabron,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.NEW_ORLEANS_PELICANS,5,0,12,2,5,0.4,0,0,,0,0,,1,0,0,0,0,0,1,4,0.8
498,Alperen Şengün,[<Position.CENTER: 'CENTER'>],20,Team.HOUSTON_ROCKETS,75,72,2171,442,799,0.553,19,57,0.333,206,288,0.715,242,436,291,70,70,193,258,1109,14.8
499,Collin Sexton,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.UTAH_JAZZ,48,15,1145,237,468,0.506,48,122,0.393,163,199,0.819,37,68,138,27,6,85,112,685,14.3
500,Landry Shamet,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.PHOENIX_SUNS,40,9,807,113,300,0.377,75,199,0.377,45,51,0.882,11,56,93,26,5,36,61,346,8.6
501,Day'Ron Sharpe,[<Position.CENTER: 'CENTER'>],21,Team.BROOKLYN_NETS,48,3,552,93,171,0.544,6,11,0.545,35,55,0.636,99,101,37,15,32,42,89,227,4.7
502,Shaedon Sharpe,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.PORTLAND_TRAIL_BLAZERS,80,15,1779,306,648,0.472,102,283,0.36,75,105,0.714,63,173,94,38,24,83,136,789,9.9
503,Pascal Siakam,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.TORONTO_RAPTORS,71,71,2652,630,1313,0.48,93,287,0.324,367,474,0.774,131,425,415,65,36,169,228,1720,24.2
